Sr. No.,id,name,host_is_superhost,neighbourhood,latitude,longitude,price in USD,guests_included,Region
1,958,"Bright, Modern Garden Unit - 1BR/1B",t,Lower Haight,37.76931,-122.43386,170.00 ,2,Western Addition
2,5858,Creative Sanctuary,f,Bernal Heights,37.74511,-122.42102,235.00 ,2,Southern
3,7918,A Friendly Room - UCSF/USF - San Francisco,f,Cole Valley,37.76669,-122.4525,65.00 ,1,Western Addition
4,8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,f,Cole Valley,37.76487,-122.45183,65.00 ,1,Western Addition
5,8339,Historic Alamo Square Victorian,f,Alamo Square,37.77525,-122.43637,685.00 ,2,Western Addition
6,8567,Lovely 2BR flat Great Location,f,Western Addition/NOPA,37.78471,-122.44555,255.00 ,1,Western Addition
7,8739,"Mission Sunshine, with Private Bath",t,Mission District,37.75919,-122.42237,139.00 ,2,Southern
8,9225,Artful Potrero Separate Floor with Garden,t,Potrero Hill,37.76259,-122.40543,135.00 ,1,Southern
9,10251,Victorian Suite in Inner Mission,t,Mission District,37.75874,-122.41327,265.00 ,4,Southern
10,10820,Haight Buena Vista Park Garden 3BR,f,Lower Haight,37.77187,-122.43859,177.00 ,6,Western Addition
11,10824,Victorian House in Hayes Valley - 3BED-2BA,f,Hayes Valley,37.77355,-122.42436,194.00 ,1,Western Addition
12,10832,Union Square Modern Loft,f,Union Square,37.78574,-122.40798,139.00 ,1,Downtown
13,12041,Sunny/Sunset view room UCSF/USF - San Francisco,f,Haight-Ashbury,37.77019,-122.44594,85.00 ,1,Western Addition
14,12042,Sunny/Sunset view room UCSF/USF - San Francisco,f,Haight-Ashbury,37.76894,-122.44778,85.00 ,1,Western Addition
15,12522,Perfectly located Castro,t,The Castro,37.76075,-122.43032,79.00 ,1,Western Addition
16,12584,"Views, sun, 12 ft ceilings, decks, 2BR work/sleep",t,Cole Valley,37.76203,-122.45455,166.00 ,2,Western Addition
17,14125,Gallery Residence,f,Mission District,37.75491,-122.42246,215.00 ,2,Southern
18,17132,Luxury 2BR suite with waterview,f,South Beach,37.78647,-122.39072,450.00 ,4,Southern
19,18231,Loft-like Apt./Garden (monthly only available),t,Noe Valley,37.74888,-122.42982,107.00 ,2,Southern
20,18904,Tranquil Lower Haight w/pvt bath,t,Hayes Valley,37.77252,-122.43216,110.00 ,1,Western Addition
21,21334,Studio loft on top of Russian Hill,t,Nob Hill,37.7958,-122.41533,125.00 ,1,Downtown
22,21914,A Friendly Room Apt. Style-UCSF/USF-San Francisco,f,Cole Valley,37.7648,-122.45251,65.00 ,1,Western Addition
23,23611,Bernal Heights Gem with Fab Views !,t,Bernal Heights,37.74556,-122.41207,100.00 ,1,Southern
24,23630,Castro Guest Suite With Continental Breakfast,t,The Castro,37.75963,-122.44143,155.00 ,2,Western Addition
25,24450,Atelier Noe 25 Studio in Noe Valley,t,Noe Valley,37.74885,-122.43673,180.00 ,2,Southern
26,24463,"Potrero Hill Nest Quiet, Comfy & Convenient",t,Potrero Hill,37.75645,-122.3991,155.00 ,2,Southern
27,24685,Castro/Haight San Francisco,t,Haight-Ashbury,37.77162,-122.43836,79.00 ,1,Western Addition
28,24723,Apartment-like rooms in PacHeights,t,Western Addition/NOPA,37.78716,-122.43386,195.00 ,4,Western Addition
29,25094,San Francisco''''s Luxury Oasis On Noe,t,Noe Valley,37.74188,-122.43122,150.00 ,1,Southern
30,25463,Modern Zen in the Lower Haight,t,Alamo Square,37.77729,-122.43421,110.00 ,1,Western Addition
31,25662,"Convenient, quiet, private",t,Potrero Hill,37.76212,-122.39541,125.00 ,2,Southern
32,25927,"CALEF HOUSE Rm 2, Priv Rm in Beaut SF Victorian",t,Western Addition/NOPA,37.78895,-122.43031,110.00 ,1,Western Addition
33,26408,Huge Central Victorian/Alamo Square,f,Alamo Square,37.77478,-122.4315,450.00 ,4,Western Addition
34,27025,"Elegant, Edwardian Apartment in the Castro/Eureka Valley",f,The Castro,37.76298,-122.43136,150.00 ,2,Western Addition
35,27028,Secret Mission Garden,t,Mission District,37.76098,-122.42158,199.00 ,2,Southern
36,29373,Sunny house with garden,t,Bernal Heights,37.73729,-122.41163,220.00 ,5,Southern
37,29557,gigi''''s bed and breakfast,f,Richmond District,37.77931,-122.50518,155.00 ,2,Outside Lands
38,32414,"Cozy, Sunny and Private Space",f,Bernal Heights,37.74025,-122.41259,150.00 ,2,Southern
39,39174,Bette''''s New Place,f,Noe Valley,37.7483,-122.42488,107.00 ,2,Southern
40,39418,"Comfortable Home Base, Bernal Heights",f,Bernal Heights,37.74093,-122.42055,94.00 ,2,Southern
41,40092,Cute Private Apt in the hip Mission,t,Mission District,37.76016,-122.41969,108.00 ,2,Southern
42,40138,Peaceful room in yoga teacher''''s colorful apt.,f,Presidio Heights,37.78255,-122.44844,83.00 ,1,North of Downtown
43,41055,Cozy Castro Cottage with Cat,f,The Castro,37.76125,-122.43335,159.00 ,3,Western Addition
44,41172,Sue''''s Place,t,Bernal Heights,37.74083,-122.41763,125.00 ,2,Southern
45,41423,Guest Cottage - SF,f,Glen Park,37.73557,-122.43302,136.00 ,1,Southern
46,41609,Spacious Quiet SF Downtown Retreat,f,Nob Hill,37.79001,-122.41292,170.00 ,2,Downtown
47,42403,Captain''''s Quarters,f,Bernal Heights,37.73356,-122.41851,85.00 ,2,Southern
48,42408,"Crows Nest,Charming Jr. One Bedroom",f,Bernal Heights,37.73404,-122.41781,85.00 ,2,Southern
49,42577,Garden View Hideaway - PET FRIENDLY,f,Dogpatch,37.75447,-122.38813,150.00 ,4,Southern
50,43778,Lyon''''s Den,f,Haight-Ashbury,37.77272,-122.44084,120.00 ,2,Western Addition
51,44680,Cute Noe/Mission Apartment,f,Mission District,37.75121,-122.42165,175.00 ,2,Southern
52,45299,Private Castro Studio with 2 beds,f,The Castro,37.76068,-122.43331,116.00 ,1,Western Addition
53,45956,Central in SF - Victorian Classic Home - 5 Stars,t,Lower Haight,37.77248,-122.43016,125.00 ,1,Western Addition
54,47486,CACTUS COTTAGE  with easy parking/public transp.,t,Ingleside,37.72536,-122.46861,78.00 ,2,Outside Lands
55,47682,One-bedroom apt.  Lafayette Park,t,Pacific Heights,37.7925,-122.42431,120.00 ,2,North of Downtown
56,48471,Mission Mega Queen Bed Sensation | Safe & Central,f,Mission District,37.75542,-122.40703,76.00 ,1,Southern
57,51073,In the Heart of San Francisco,f,SoMa,37.77116,-122.42199,160.00 ,2,Southern
58,51557,Centrally Located Victorian Apartment,t,Lower Haight,37.77121,-122.42834,119.00 ,2,Western Addition
59,51773,Prime Location - Small Cozy Room,t,Pacific Heights,37.79312,-122.426,55.00 ,1,North of Downtown
60,52713,Nob Hill room with a great view,f,Nob Hill,37.79667,-122.41272,99.00 ,1,Downtown
61,53280,Large & sunny room with bath + yard,t,Bernal Heights,37.73878,-122.41189,90.00 ,1,Southern
62,54518,Financial District Corporate Condo,f,Financial District,37.7933,-122.40079,210.00 ,1,Downtown
63,54634,Studio Apartment Lafayette Park,t,Pacific Heights,37.79166,-122.4265,115.00 ,2,North of Downtown
64,55632,"❤️Stunning Luxury Apt, 5 star reviews, Laundry,",t,Richmond District,37.77959,-122.48619,116.00 ,1,Outside Lands
65,55636,"❤️ Super luxury Apt, Great View,  5 Star Reviews",t,Twin Peaks,37.74889,-122.44479,116.00 ,1,Western Addition
66,56621,Prime Location - Large Private Room,t,Pacific Heights,37.79216,-122.42458,55.00 ,1,North of Downtown
67,57561,"Bernal Heights Apartment, Patio + Parking",f,Bernal Heights,37.7472,-122.41443,175.00 ,2,Southern
68,57676,"Bartlett Gardens: Spacious, bright!",f,Mission District,37.75762,-122.41933,99.00 ,1,Southern
69,58185,Quiet Home in the Trees of Forest Knolls,f,Inner Sunset,37.75504,-122.45871,350.00 ,4,Western Addition
70,59344,Private and Quiet Noe Valley Studio,t,Noe Valley,37.74565,-122.42864,135.00 ,2,Southern
71,59381,Ultra Panoramic View Contemporary,f,Russian Hill,37.8031,-122.41596,109.00 ,1,North of Downtown
72,59702,Garden Cottage Charming!,t,Bernal Heights,37.74209,-122.41409,150.00 ,2,Southern
73,59831,Lovely quiet private room in Home ,f,Outer Sunset,37.75674,-122.49178,100.00 ,2,Southern
74,62519,Lovely Room in Charming Edwardian,t,Noe Valley,37.74183,-122.42993,85.00 ,1,Southern
75,62651,GORGEOUS SAN FRANCISCO HOME,f,Mission District,37.76245,-122.42432,"1,100.00 ",1,Southern
